id,CATEGORY,SENTIMENT,SCORE,REVLEN
140604,0.41,0.37,0.19,0.03
140605,0.41,0.37,0.2,0.02
140606,0.41,0.37,0.21,0.01
140607,0.41,0.37,0.22,0.0
140608,0.41,0.38,0.0,0.21
140609,0.41,0.38,0.01,0.2
140610,0.41,0.38,0.02,0.19
140611,0.41,0.38,0.03,0.18
140612,0.41,0.38,0.04,0.17
140613,0.41,0.38,0.05,0.16
140614,0.41,0.38,0.06,0.15
140615,0.41,0.38,0.07,0.14
140616,0.41,0.38,0.08,0.13
140617,0.41,0.38,0.09,0.12
140618,0.41,0.38,0.1,0.11
140619,0.41,0.38,0.11,0.1
140620,0.41,0.38,0.12,0.09
140621,0.41,0.38,0.13,0.08
140622,0.41,0.38,0.14,0.07
140623,0.41,0.38,0.15,0.06
140624,0.41,0.38,0.16,0.05
140625,0.41,0.38,0.17,0.04
140626,0.41,0.38,0.18,0.03
140627,0.41,0.38,0.19,0.02
140628,0.41,0.38,0.2,0.01
140629,0.41,0.38,0.21,0.0
140630,0.41,0.39,0.0,0.2
140631,0.41,0.39,0.01,0.19
140632,0.41,0.39,0.02,0.18
140633,0.41,0.39,0.03,0.17
140634,0.41,0.39,0.04,0.16
140635,0.41,0.39,0.05,0.15
140636,0.41,0.39,0.06,0.14
140637,0.41,0.39,0.07,0.13
140638,0.41,0.39,0.08,0.12
140639,0.41,0.39,0.09,0.11
140640,0.41,0.39,0.1,0.1
140641,0.41,0.39,0.11,0.09
140642,0.41,0.39,0.12,0.08
140643,0.41,0.39,0.13,0.07
140644,0.41,0.39,0.14,0.06
140645,0.41,0.39,0.15,0.05
140646,0.41,0.39,0.16,0.04
140647,0.41,0.39,0.17,0.03
140648,0.41,0.39,0.18,0.02
140649,0.41,0.39,0.19,0.01
140650,0.41,0.39,0.2,0.0
140651,0.41,0.4,0.0,0.19
140652,0.41,0.4,0.01,0.18
140653,0.41,0.4,0.02,0.17
140654,0.41,0.4,0.03,0.16
140655,0.41,0.4,0.04,0.15
140656,0.41,0.4,0.05,0.14
140657,0.41,0.4,0.06,0.13
140658,0.41,0.4,0.07,0.12
140659,0.41,0.4,0.08,0.11
140660,0.41,0.4,0.09,0.1
140661,0.41,0.4,0.1,0.09
140662,0.41,0.4,0.11,0.08
140663,0.41,0.4,0.12,0.07
140664,0.41,0.4,0.13,0.06
140665,0.41,0.4,0.14,0.05
140666,0.41,0.4,0.15,0.04
140667,0.41,0.4,0.16,0.03
140668,0.41,0.4,0.17,0.02
140669,0.41,0.4,0.18,0.01
140670,0.41,0.4,0.19,0.0
140671,0.41,0.41,0.0,0.18
140672,0.41,0.41,0.01,0.17
140673,0.41,0.41,0.02,0.16
140674,0.41,0.41,0.03,0.15
140675,0.41,0.41,0.04,0.14
140676,0.41,0.41,0.05,0.13
140677,0.41,0.41,0.06,0.12
140678,0.41,0.41,0.07,0.11
140679,0.41,0.41,0.08,0.1
140680,0.41,0.41,0.09,0.09
140681,0.41,0.41,0.1,0.08
140682,0.41,0.41,0.11,0.07
140683,0.41,0.41,0.12,0.06
140684,0.41,0.41,0.13,0.05
140685,0.41,0.41,0.14,0.04
